ServiceStatus,MajorCyclewayName,Type,CreateDate,LastEditDate,Shape__Length,Ownership,PublicRelevance,GeometryPath
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:08+12:00,28.92,Waka Kotahi,Public,"[[[172.70168563377192, -43.49305460394037], [172.70180540252335, -43.49305575734774], [172.70183861626975, -43.493045820368145], [172.70186121630869, -43.49303803654793], [172.70188744893156, -43.49302671179661], [172.70202520856512, -43.49299055121516]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,4.76,Waka Kotahi,Public,"[[[172.70136092580194, -43.49326048437125], [172.7013571368439, -43.49321769052196]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,5.61,Waka Kotahi,Public,"[[[172.7016171081093, -43.49304543524331], [172.7016853368944, -43.49305461307057]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,100.93,Waka Kotahi,Public,"[[[172.7008053764751, -43.49325256876562], [172.70084703854673, -43.49324876089964], [172.70111710841945, -43.4932305383053], [172.70121250665932, -43.493228596879725], [172.70133484035378, -43.49322057129082], [172.70145913157185, -43.49320281612817], [172.70153570774693, -43.49317381327498], [172.70158369659052, -43.49312944015362], [172.70161464530236, -43.49305303925504], [172.70164568729163, -43.49295717218332], [172.70169217447952, -43.49282936120443]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,28.19,Waka Kotahi,Public,"[[[172.701408140672, -43.49350855110158], [172.70142146797778, -43.49341553092083], [172.7014171971138, -43.49337941340843], [172.7013851176717, -43.49334006996794], [172.70136084031137, -43.493263777922564]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,21.77,Waka Kotahi,Public,"[[[172.70144714671892, -43.493699215542065], [172.70146642528547, -43.4936645011601], [172.7014513838125, -43.49361440246016], [172.7014153092962, -43.49356703026581], [172.7014079249967, -43.4935141692242]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,26.17,Waka Kotahi,Public,"[[[172.701746138165, -43.49377462619419], [172.70185002944527, -43.49376283587227], [172.70187493092638, -43.493750384817695], [172.70190942771504, -43.493729616285286], [172.70193811108138, -43.49372551936445], [172.70204885864896, -43.49374603166547]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,37.13,Waka Kotahi,Public,"[[[172.70134586997898, -43.49376524164719], [172.70144714671892, -43.493699215542065], [172.7015102379621, -43.49369242713346], [172.70158656263578, -43.49371487328444], [172.70164374456346, -43.49374422346074], [172.70169139402302, -43.493769377946116], [172.70173913686412, -43.49377506354954]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,30.74,CCC,Public,"[[[172.68918235190884, -43.49234282308598], [172.68932306447587, -43.49233688897451], [172.68935114272972, -43.49227353353018], [172.6893498142249, -43.49216595458069]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,40.32,CCC,Public,"[[[172.7001146086149, -43.50045373906054], [172.7002698472867, -43.500374020495904], [172.70044603055953, -43.500275591644275], [172.70050742293478, -43.5002310317395]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,20.48,CCC,Public,"[[[172.70621327518478, -43.50428589221326], [172.70623987486138, -43.50426450784008], [172.70627143774072, -43.504228018011844], [172.70630140825875, -43.50419464497058], [172.70631490609838, -43.50417793346646], [172.70628859869848, -43.5041283288048]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,49.72,CCC,No Public Relevance,"[[[172.7093824678082, -43.50529569103816], [172.7094409743399, -43.50521312905726], [172.70953416746772, -43.50524488173907], [172.7096139095222, -43.505271619914055], [172.70968281553797, -43.505274769906], [172.7097640740433, -43.50524837663439], [172.70983590933497, -43.505225967199706], [172.7098923159954, -43.50521003317619]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,6.01,Waka Kotahi,No Public Relevance,"[[[172.7093405712709, -43.50542384069058], [172.7093173685964, -43.505475242099465]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,18.47,CCC,Public,"[[[172.71594234386282, -43.51121185048324], [172.71589550848051, -43.511185150792855], [172.71588621592466, -43.511147995865635], [172.71586319345403, -43.51109418402339], [172.71584021188224, -43.51107069057919]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,10.63,Waka Kotahi,No Public Relevance,"[[[172.7159679141919, -43.51115108111023], [172.71594769603828, -43.51113452334358], [172.71590767060718, -43.51111457397378], [172.71586319345403, -43.51109418402339]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,389.84,CCC,Public,"[[[172.7149846152961, -43.51663935598058], [172.71476086937224, -43.516780233468744], [172.71460749405267, -43.51685399999064], [172.7144672185878, -43.516888448568665], [172.71423764299044, -43.5168948020149], [172.71408496080457, -43.51685039665495], [172.7129492085818, -43.51645351878671], [172.71272170196718, -43.51637850100851], [172.71248272441602, -43.51635470713029], [172.71211947424788, -43.516365397826], [172.71189928283377, -43.516406566300454], [172.71169511601028, -43.51647327934781], [172.71144609710805, -43.51655378593913], [172.71121030021916, -43.51656946943983], [172.71102541420197, -43.516566637797546], [172.71087906372333, -43.516519936363174], [172.71072940799257, -43.51648944036517], [172.71063069045127, -43.516493807062], [172.7105062032527, -43.51651438454607]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,261.65,CCC,Public,"[[[172.7179461000423, -43.51557561943839], [172.71787628015758, -43.51558516459273], [172.71772685843814, -43.51562524208898], [172.71758362064088, -43.51569417894222], [172.71740376775077, -43.515787316843614], [172.71722875671855, -43.515865406793964], [172.7169388997778, -43.51594473123793], [172.7162172172007, -43.51610928451585], [172.7158319551396, -43.51620470666595], [172.7156237701303, -43.51626078990765], [172.71547901686554, -43.516322797864504], [172.71534203239221, -43.5164045011067], [172.7150616908477, -43.51657936715436]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,14.88,Waka Kotahi,No Public Relevance,"[[[172.71798933928258, -43.51521255865676], [172.7178160138913, -43.51525760529778]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,4.13,CCC,Public,"[[[172.71817833315401, -43.515682455970925], [172.71814412996775, -43.5156548618168]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,56.88,CCC,No Public Relevance,"[[[172.72133402182692, -43.52550548203839], [172.721280545147, -43.52549330309823], [172.7211679857202, -43.5254950960346], [172.72107087191407, -43.525496978765844], [172.7210150413106, -43.5254695650632], [172.72097298724066, -43.52541776451486], [172.72095660787244, -43.52537326513363], [172.72094914172266, -43.52535297923499], [172.72094375984832, -43.525301469866065], [172.72094261080036, -43.5252457811475], [172.72093841774324, -43.5252107326562]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,4.97,CCC,No Public Relevance,"[[[172.71280832614187, -43.50703980052487], [172.71284923027898, -43.5070064343357]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,432.0,CCC,Public,"[[[172.68015649146892, -43.5396696708401], [172.68084232555705, -43.53989792669755], [172.68185423412902, -43.540227376241035], [172.68273012487325, -43.540511281443436], [172.68377700945135, -43.540859324585526], [172.68413212737178, -43.54097994539669], [172.68433331266803, -43.5410736605772], [172.68437233811133, -43.54109205230251], [172.68448610476946, -43.54110615988417], [172.68462213954496, -43.54109503500083], [172.68477236169917, -43.541091997051474], [172.68490817609856, -43.54112340989644], [172.68499494036695, -43.541161586491], [172.68503435001793, -43.541184688260074]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,353.41,CCC,Public,"[[[172.675994431471, -43.53829421882699], [172.6771427457757, -43.53866703689748], [172.67829049309657, -43.539050914322736], [172.67980865630784, -43.5395515648309], [172.67998051726585, -43.53960463610381]]]"
In Service,Rapanui Shag Rock Cycleway,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,56.13,CCC,Public,"[[[172.67203315448737, -43.53550150217768], [172.67146361315287, -43.535212063725986]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,232.66,CCC,Public,"[[[172.6770163127282, -43.5363720210837], [172.67678634815186, -43.53657705857786], [172.67676065508311, -43.53659996565179], [172.67652591958938, -43.53678283870769], [172.67620581604493, -43.53701729702005], [172.67606044167832, -43.53712369706014], [172.67590464846126, -43.53724360794754], [172.67579674820146, -43.53730498284494], [172.67564336085167, -43.537361716584925], [172.67542997183583, -43.53741978531138], [172.67535739064698, -43.53745267700974], [172.67523067956066, -43.53755010313317], [172.67516023089962, -43.53757096570445], [172.6750546547591, -43.53758420716731], [172.6749344924989, -43.537616964258824], [172.6748225580695, -43.53765877046828]]]"
In Service,Little River Link Cycleway,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,189.57,CCC,Public,"[[[172.59483108801112, -43.54623720322423], [172.59495500582258, -43.546259171373656], [172.5950690503935, -43.54626134106835], [172.59539444000416, -43.54630771040603], [172.59691181152994, -43.54651512828317], [172.59693793782174, -43.54650891743975], [172.59710114649744, -43.546422343591274]]]"
In Service,Little River Link Cycleway,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,37.84,CCC,No Public Relevance,"[[[172.59212110337572, -43.545788909143454], [172.59217431439953, -43.54573940108917], [172.5922391892123, -43.54569237565152], [172.59239642574192, -43.54559701169979], [172.5924230667054, -43.545537755380145]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,176.31,Waka Kotahi,No Public Relevance,"[[[172.53089990782047, -43.53293677800799], [172.53095480599282, -43.53293534015357], [172.5309820928422, -43.53293184049415], [172.531043886447, -43.53283672023264], [172.53110355941357, -43.53271673415397], [172.53119074899993, -43.53255922047655], [172.5316400582358, -43.53178736412163], [172.5317818860984, -43.5315200789429]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:09+12:00,128.35,Waka Kotahi,No Public Relevance,"[[[172.53027757755135, -43.53407784591759], [172.53031583784212, -43.534024276653255], [172.53034603305318, -43.53398321984153], [172.53039723994792, -43.533903517625056], [172.53046507665977, -43.53379607681267], [172.53066255398636, -43.53347939121789], [172.53072371806923, -43.53337924599434], [172.5309001822283, -43.53308243970069], [172.53088143042612, -43.53305250562897], [172.53085015546404, -43.53303466957899]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,498.17,Waka Kotahi,No Public Relevance,"[[[172.5278093672567, -43.53834597635701], [172.52811357942662, -43.53781508628222], [172.5282177288167, -43.53760499190997], [172.5283154132081, -43.53741375712614], [172.52837684697104, -43.53735212271388], [172.5285566371842, -43.537046342353605], [172.52931932084957, -43.53571393989766], [172.5294432103893, -43.535503714892485], [172.52948582097687, -43.535381127503754], [172.52955776387543, -43.535259831341655], [172.5295809316204, -43.53524567117109], [172.52965487122015, -43.5351239653639], [172.5298853447965, -43.53472740714045], [172.52992911751534, -43.53465992393087], [172.53000606722247, -43.534525904368785], [172.5301899467795, -43.53421523348734]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,657.01,CCC,No Public Relevance,"[[[172.53534342378774, -43.538214445881614], [172.53136911391712, -43.53862062216779], [172.52814944426856, -43.53852955200372], [172.5280914828493, -43.538547929015884], [172.52805897639658, -43.53857410428206], [172.52801816876533, -43.53863340242305], [172.5279765110632, -43.538790235286946], [172.52791636314, -43.5389449316202], [172.52783404228168, -43.53911894225177]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,264.72,CCC,No Public Relevance,"[[[172.53892072517695, -43.53784692939491], [172.53860175860203, -43.537877233960124], [172.53567671850527, -43.538181486622506]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,194.55,CCC,No Public Relevance,"[[[172.54162598819354, -43.53757245863839], [172.5392424806518, -43.53782109136977]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,61.69,CCC,No Public Relevance,"[[[172.54253358391688, -43.53747803584756], [172.54177812044608, -43.537558531126486]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,192.62,CCC,No Public Relevance,"[[[172.54512958211123, -43.5371892045217], [172.54277352252447, -43.53745411154728]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,819.73,CCC,Public,"[[[172.61273710788112, -43.53636659699261], [172.61274167696232, -43.53632934215043], [172.61275351576975, -43.53623277854119], [172.61270613600226, -43.536094313046675], [172.61255618320408, -43.535933525157546], [172.612499603332, -43.5358147602702], [172.61252472844265, -43.535397194860586], [172.61251784914768, -43.53264719777346], [172.61252534008253, -43.53239768870579], [172.61260495139618, -43.5322919497745], [172.6126302772377, -43.53213733555694], [172.61257033232886, -43.53200459545236], [172.6124949789987, -43.53185359021745], [172.61255669565298, -43.52923914506742], [172.61255811592417, -43.52915453070135], [172.61267977617393, -43.5291722859713]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,49.86,CCC,No Public Relevance,"[[[172.56392474928612, -43.52930242563652], [172.56396547684608, -43.52924280721443], [172.56398364369235, -43.529210029025485], [172.56413018430268, -43.528933889244016], [172.5641561413895, -43.52888648181907]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,24.88,CCC,No Public Relevance,"[[[172.56403242994494, -43.52830817017273], [172.56409825038875, -43.528326332368536], [172.56417309218378, -43.528349854023205], [172.56422575651524, -43.52836699803999], [172.56425535661103, -43.528392469499124], [172.56424091054112, -43.52842914814763]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,67.21,CCC,No Public Relevance,"[[[172.56526246157554, -43.52688481138022], [172.5653879175328, -43.52692614869039], [172.5655267925001, -43.52696170030425], [172.56559898860658, -43.52696781027524], [172.56567131038383, -43.52695640742314], [172.56573851495838, -43.52691190439672], [172.56579522603073, -43.52683817152119], [172.56587322959808, -43.52678008780353], [172.56590572366395, -43.52672572379211]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,101.09,CCC,No Public Relevance,"[[[172.56523018842753, -43.52662506928316], [172.56527099400358, -43.526691143616176], [172.56528105371254, -43.526762287483365], [172.56527534439797, -43.52683752415089], [172.56526246157554, -43.52688481138022], [172.56520894905174, -43.52691577248768], [172.56513107587313, -43.52695542095686], [172.5650675794809, -43.527033177798955], [172.56503714083055, -43.52708828413452], [172.5649964178125, -43.52716415293798], [172.564959743335, -43.52723233670115], [172.5649464214435, -43.52730588759945], [172.56491830955449, -43.52734956016141], [172.5648803428943, -43.52739140787063], [172.56484626182814, -43.52743103370121]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,266.14,CCC,No Public Relevance,"[[[172.56433407582648, -43.52944758569892], [172.56435068533892, -43.52936981003129], [172.56438061747676, -43.529299870186556], [172.56437321626453, -43.52921227484848], [172.56433912777854, -43.529114848741145], [172.56426737503452, -43.529046469037674], [172.56420093014268, -43.528983946969255], [172.5641561413895, -43.52888648181907], [172.56409522866875, -43.528798683360385], [172.56409865590766, -43.52869361603066], [172.5641747384445, -43.52853044396851], [172.56425589378077, -43.5284062102185], [172.56434350874653, -43.528280242493075], [172.5644203524479, -43.528207005725825], [172.56448537090566, -43.52810151298722], [172.56453032407077, -43.52799223494133], [172.56458853793328, -43.52791672196124], [172.56462925599692, -43.52783514640557], [172.56466204069855, -43.52773991810882], [172.56472434604262, -43.52765398381641], [172.56477057999737, -43.52754907760107], [172.56484626182814, -43.52743103370121], [172.56477676427386, -43.52740168367043], [172.56471634001184, -43.52738113016958], [172.5645952840886, -43.52734341147933]]]"
In Service,Uni-Cycle Cycleway,Shared path,2021-03-23 13:33:26+13:00,2021-10-18 17:35:08+13:00,549.01,CCC,Public,"[[[172.57937381277517, -43.52140137275069], [172.577787974626, -43.5211834982642], [172.5775972848719, -43.521110100802474], [172.57728038488517, -43.521064688118145], [172.5767725565899, -43.520980643861485], [172.5761910130256, -43.5208741997815], [172.57588291587683, -43.52081301158416], [172.5756706140055, -43.52072372826992], [172.57543208577636, -43.520656473332224], [172.5751239461612, -43.520601603917264], [172.574845959323, -43.52058477441879], [172.57453303461452, -43.52059310088907], [172.57426768818888, -43.52063321040429], [172.57397192158064, -43.520673205959696], [172.57368081166746, -43.52066896850459], [172.5734504016815, -43.520683919733315], [172.57317339691977, -43.520702438734595], [172.5727823635321, -43.52070958458466], [172.5727555228461, -43.520710073170285]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,99.2,CCC,No Public Relevance,"[[[172.5750229415524, -43.51674621944423], [172.57503422649594, -43.516676803420125], [172.57505287404814, -43.5166048044228], [172.57511129579166, -43.5165496480329], [172.5751840508445, -43.51650425956544], [172.57529186995163, -43.51646950387228], [172.5754006832291, -43.5164575793724], [172.5754817259556, -43.51644209312804], [172.57551932159632, -43.51642025240587], [172.57553277817684, -43.51639043072558], [172.57552337406932, -43.51635524227638], [172.57541898044406, -43.51608413163854]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,335.86,CCC,No Public Relevance,"[[[172.57533845530935, -43.517803938089266], [172.57537308546802, -43.51777370794344], [172.57535389801603, -43.51771644432997], [172.57532719751092, -43.51766273470241], [172.57525377405986, -43.51761783866098], [172.57514121665508, -43.51756739460834], [172.57511225490515, -43.51748684113189], [172.5750861389666, -43.5173491661943], [172.5750636861354, -43.517057835455354], [172.5750229415524, -43.51674621944423], [172.57495047948083, -43.51666696291335], [172.57487522699896, -43.51655411997125], [172.57477022149334, -43.51645367504793], [172.57467282951987, -43.51633540740016], [172.57461713834888, -43.51622621894192], [172.5746128905886, -43.51613324944382], [172.57460182740698, -43.51594383965124], [172.5745854978769, -43.5158073535187], [172.5745643047244, -43.515666113942245], [172.57453305910423, -43.515562358615355], [172.57444283864578, -43.515469132182496], [172.57432305358327, -43.515402571589554], [172.5741833597337, -43.51534134018645], [172.57402679765423, -43.51526213539018], [172.5738971905391, -43.51517944893853]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,276.01,CCC,No Public Relevance,"[[[172.5832124637599, -43.51066813057745], [172.5824052585711, -43.511334846406555], [172.58096762282597, -43.51254081758812]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,104.99,CCC,No Public Relevance,"[[[172.5732766907269, -43.50447693391232], [172.57319600438245, -43.50442225861288], [172.57307946660328, -43.5043322867861], [172.5729344973853, -43.504259495968185], [172.57279360242015, -43.50421682509937], [172.57268069455426, -43.504174978997476], [172.57258646975916, -43.50412487996776], [172.572520371076, -43.50407763052205], [172.57227117582863, -43.50401928099866], [172.57218402991248, -43.50404099564495]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,231.31,CCC,No Public Relevance,"[[[172.58554088378895, -43.51147198571234], [172.58545069247737, -43.51148804652008], [172.58530056460222, -43.51156321721875], [172.58516715735792, -43.51159351888034], [172.58497853672495, -43.51159047077074], [172.58470902319857, -43.51153977421336], [172.58444309608888, -43.511448957124536], [172.58422889649043, -43.51137484045493], [172.5841091753521, -43.511298757477824], [172.58402518129353, -43.51122037500596], [172.5840060010237, -43.511161169681024], [172.58379107637404, -43.511024817436336], [172.58346087438036, -43.51081549387605], [172.58321246374751, -43.51066813237828], [172.58319210894715, -43.51065605638681]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,179.86,CCC,No Public Relevance,"[[[172.5868389600759, -43.51245099057667], [172.58682982501296, -43.51237530730586], [172.58679144191865, -43.51228051572949], [172.5866653961303, -43.51215948488306], [172.58650979925193, -43.51208558252617], [172.58616339063423, -43.51186436938024], [172.58573602720634, -43.51160497823381], [172.58557750592692, -43.51149560699334], [172.58531198003146, -43.51132434652972]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,508.04,CCC,No Public Relevance,"[[[172.58037667451782, -43.505963940934556], [172.58072483209122, -43.50617406785307], [172.58102128867782, -43.506344116218344], [172.58130439449994, -43.506529294333596], [172.5815615459838, -43.506699198253315], [172.58185245655054, -43.50690152429518], [172.5819958923574, -43.50702438536243], [172.58228807234698, -43.50742033387524], [172.58239887352315, -43.50762012298587], [172.58248945975276, -43.50776519482407], [172.58268100103857, -43.507991869868206], [172.5828401834672, -43.50815009488841], [172.58290911846203, -43.50821861498223], [172.5831086579216, -43.50845557883953], [172.5833286130583, -43.50873924447144], [172.58350993616418, -43.50892410912808], [172.58371505225486, -43.50910401952686], [172.5842448668627, -43.50949705774375]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,98.57,CCC,No Public Relevance,"[[[172.56594478009998, -43.50213674911003], [172.56578534107234, -43.50224549535937], [172.5649421829995, -43.50236853666373], [172.564848624421, -43.5024451699605]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,23.67,CCC,No Public Relevance,"[[[172.565222290159, -43.50300540168448], [172.56515324512793, -43.50301631253453], [172.56504976558077, -43.50301033539112], [172.56498442348442, -43.50302684558103], [172.56493608551168, -43.503033497716736]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,358.72,CCC,No Public Relevance,"[[[172.56158957079447, -43.504457095227515], [172.56173092213453, -43.5044628550981], [172.56197510721515, -43.50452486413], [172.562224156528, -43.50457116529029], [172.56237516829904, -43.50457520101448], [172.56248826778653, -43.50452505499752], [172.56265936011556, -43.50441927265295], [172.5628157106411, -43.5043413622592], [172.5629429450914, -43.50432788033521], [172.5630508242051, -43.5043230692615], [172.56313262361024, -43.50430067213349], [172.56321424137596, -43.504283557063864], [172.56330778478062, -43.50426994692759], [172.56492296915434, -43.503043370526925], [172.56509262707306, -43.50291566082904]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,470.75,CCC,No Public Relevance,"[[[172.57406816505707, -43.48236008818197], [172.57399861949605, -43.48231469947886], [172.57387584990573, -43.482258991547525], [172.57371871219317, -43.48219485248457], [172.57311574394203, -43.48197560081187], [172.572436016743, -43.48170016016573], [172.57188322991172, -43.481467324710465], [172.57162877098966, -43.48138398672118], [172.57142603311044, -43.48133459831246], [172.57118771702187, -43.48128908394651], [172.57069831947777, -43.48121257838342], [172.5697300569806, -43.481056138445595], [172.56900864621923, -43.48093904873405], [172.56887118046834, -43.48092068305636], [172.5687852290319, -43.480924307343656], [172.5686693483199, -43.480926848006014]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,134.35,CCC,No Public Relevance,"[[[172.57575133759534, -43.48305922757034], [172.57547796347313, -43.48294330530165], [172.57541004833277, -43.48289423174532], [172.57502050628017, -43.482733526210936], [172.57489620509472, -43.482710113062076], [172.57473046581217, -43.482637876449644], [172.57431492516886, -43.48246295484456]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,257.05,CCC,No Public Relevance,"[[[172.61416912883016, -43.47746381969627], [172.61415281761145, -43.477693626160104], [172.61412646432913, -43.477900757351314], [172.61414404761493, -43.47794228430127], [172.61423259612198, -43.47800475342674], [172.61431774110554, -43.47810448980502], [172.6143633171531, -43.47820306168202], [172.61434081977205, -43.478392112620874], [172.61427601330888, -43.4790810083712], [172.61428630301924, -43.479138053948404], [172.61427730165633, -43.47926412821712], [172.6142992928643, -43.47933687808249], [172.61435583345497, -43.47947695452915], [172.614357728451, -43.479564147066455], [172.6143771698046, -43.479653281581285], [172.61440415837026, -43.47970965410674]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,28.1,CCC,No Public Relevance,"[[[172.61410579821438, -43.47723227766939], [172.61407320900986, -43.47733319801323], [172.61401934045662, -43.47740818249525], [172.61395706293965, -43.47745434363091]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:10+12:00,249.58,CCC,No Public Relevance,"[[[172.61440801629797, -43.47529215791024], [172.6143247406686, -43.47561083377758], [172.61430074340828, -43.475968971100755], [172.61426951659516, -43.4763323047174], [172.6142305502687, -43.47675881715871], [172.61417132921216, -43.47697458160444], [172.61410579821438, -43.47723227766939], [172.61412661782498, -43.477330827334285], [172.61419718916807, -43.477413940371235], [172.61429994996658, -43.47746966543902]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:11+12:00,419.79,CCC,No Public Relevance,"[[[172.61662100390268, -43.47754117301371], [172.6155503059113, -43.47748489566437], [172.6153910336888, -43.47750020946771], [172.61512293825325, -43.47754144854151], [172.6143129750993, -43.477470246931475], [172.61392953799103, -43.47745311345458], [172.6135821219826, -43.47745194533691], [172.61316982369007, -43.47742426946048], [172.61251876779303, -43.477395726548245], [172.61223667154368, -43.477352639031984], [172.61146906822145, -43.47745538670906]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:11+12:00,1221.28,Waka Kotahi,Public,"[[[172.6361009616176, -43.48836912291254], [172.63666086951187, -43.48835506216259], [172.63762940352035, -43.48832669352146], [172.63865126145137, -43.488292211899484], [172.6401051800448, -43.48824199708239], [172.64109965627043, -43.488210983903095], [172.6417116833821, -43.488192364449], [172.64307504781144, -43.48814978249261], [172.64386220422662, -43.48811874986067], [172.64436105074793, -43.48811819907898], [172.64480723022172, -43.488129194436794], [172.64507517853255, -43.48816411317873], [172.6456341818832, -43.48820488964825], [172.64619575385825, -43.48827440048341], [172.6467178771624, -43.488348839002946], [172.64710967317393, -43.488418285298685], [172.64756970276122, -43.48852159688833], [172.64801834855305, -43.48863495190833], [172.64867092937234, -43.488813314561305], [172.6492311802938, -43.48896202003165], [172.6497592742235, -43.48910452384116], [172.65063981794594, -43.48932888385914], [172.650924588725, -43.48940752378739]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:11+12:00,226.02,Waka Kotahi,Public,"[[[172.6331083657827, -43.48788877133168], [172.6331760444177, -43.48791261307661], [172.63324506855835, -43.48790458113981], [172.6333160820428, -43.48792177481121], [172.63348521192523, -43.487976114207314], [172.633769373488, -43.48806221806956], [172.63420408220472, -43.488175143241946], [172.63461122393042, -43.488253804618054], [172.63494714849756, -43.48830126057524], [172.6352916618916, -43.48832867683758], [172.63579986144035, -43.48836817687345]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:11+12:00,12.39,CCC,Public,"[[[172.6125828552812, -43.526721431498764], [172.612735965199, -43.52672699617366]]]"
In Service,Uni-Cycle Cycleway,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:44:11+12:00,293.69,CCC,Public,"[[[172.6127992221607, -43.52534541574162], [172.61280300464983, -43.525282217818365], [172.61635020993518, -43.5253033325946]]]"
