ServiceStatus,MajorCyclewayName,Type,CreateDate,LastEditDate,Shape__Length,Ownership,PublicRelevance,GeometryPath
In Service,Rapanui Shag Rock Cycleway,Shared path,2021-03-24 14:00:33+13:00,2023-06-14 00:09:53+12:00,890.32,CCC,Public,"[[[172.7007539603769, -43.54927217734068], [172.70041090345887, -43.549590003868744], [172.70021062982082, -43.549790173871514], [172.6999294974237, -43.550250291908476], [172.69973369647298, -43.550577897728715], [172.6996419781144, -43.5508197657222], [172.6995006517184, -43.55105513097616], [172.69949924835933, -43.55133758675275], [172.6994458668461, -43.55150309964119], [172.6994376830806, -43.55197455218918], [172.69968725995074, -43.55228527614955], [172.69971610083402, -43.55235756027405], [172.69962641411502, -43.552777828540776], [172.69984055398444, -43.55316916195274], [172.699856029646, -43.55358121090597], [172.69972657747132, -43.55377625693327], [172.69990408665336, -43.5542680655541], [172.70027227477559, -43.55467531384511], [172.7010143210886, -43.555080945088], [172.70137155653808, -43.555238863473136], [172.70169996294362, -43.55524614978557], [172.70238679935565, -43.55516938882998], [172.70291628743172, -43.55495078231029]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-14 00:14:46+12:00,12.34,CCC,Public,"[[[172.57838411817417, -43.57805720808083], [172.5784137588311, -43.57794822562821]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-14 00:15:25+12:00,13.8,CCC,Public,"[[[172.57437708688977, -43.5785160877022], [172.57443860257422, -43.57850737916823], [172.57450186862874, -43.578443574334834]]]"
In Service,Little River Link Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:16:37+12:00,11.14,CCC,Public,"[[[172.61773475265977, -43.54236295096218], [172.61774046678482, -43.54246319337127]]]"
In Service,Papanui Parallel Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:27:40+12:00,16.11,CCC,Public,"[[[172.6365137301097, -43.51350020511415], [172.63650733778636, -43.513355227757465]]]"
In Service,Papanui Parallel Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:43:09+12:00,23.83,CCC,Public,"[[[172.62745532264844, -43.50504259808771], [172.62767609678826, -43.505184755564954]]]"
In Service,Papanui Parallel Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:45:29+12:00,13.68,CCC,Public,"[[[172.61234854786898, -43.491827258075745], [172.61221373814217, -43.49175280990482]]]"
In Service,Uni-Cycle Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:47:57+12:00,15.78,CCC,Public,"[[[172.58704837159388, -43.52724084070993], [172.58724342288232, -43.52724679179077]]]"
In Service,,Cycle lane,2023-06-14 03:26:33+12:00,2023-06-14 03:26:41+12:00,22.4,CCC,No Public Relevance,"[[[172.5907413607291, -43.570425798923544], [172.59091902935617, -43.570580747473194]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2023-06-10 00:41:50+12:00,257.87,CCC,Public,"[[[172.5738142683433, -43.533091882454805], [172.57383918227998, -43.53313063140071], [172.5738663984323, -43.53327938105265], [172.5738927897696, -43.53345846198594], [172.57392552134107, -43.53369700258421], [172.57393897279837, -43.5337939175594], [172.57396479666448, -43.533966292693535], [172.57398013137197, -43.53407436281828], [172.57399699547528, -43.53419321220255], [172.57402871277552, -43.534401360576034], [172.57406036109074, -43.53461934039787], [172.57409443294716, -43.53484224554154], [172.5741390180823, -43.535142836919086], [172.5741738209247, -43.53539667067504]]]"
